OTU ID	HE327A	HE327C	HE327D	HE327E	HE327F	HE327G	HE327J	HE327K	HE327L	HE327N
otu6958	2	2	4	0	3	0	1	0	0	0
otu7424	0	6	0	1	1	1	0	0	0	3
otu75	0	3	7	1	0	1	0	0	0	0
otu7656	0	2	5	4	0	0	0	0	1	0
otu7728	0	4	5	0	0	0	2	0	0	1
otu7983	0	1	0	0	7	1	1	0	2	0
otu806	0	3	3	1	1	0	1	0	1	2
otu8134	1	1	0	1	2	1	0	4	1	1
otu826	0	0	0	2	0	0	0	7	3	0
otu8268	0	0	1	0	9	2	0	0	0	0
otu8312	0	1	1	0	3	3	0	1	1	2
otu8399	3	1	5	2	0	1	0	0	0	0
otu8800	0	6	2	2	0	0	2	0	0	0
otu9000	9	0	1	0	0	2	0	0	0	0
otu9137	0	1	3	7	0	0	1	0	0	0
otu9409	1	1	2	3	1	1	2	0	1	0
otu943	1	0	0	0	1	1	1	4	2	2
otu9478	0	3	6	2	0	0	0	0	0	1
otu1087	6	1	2	0	0	1	0	0	1	0
otu1960	2	2	4	0	1	0	1	0	1	0
otu201	3	0	3	0	1	1	3	0	0	0
otu2337	0	0	0	0	1	5	0	0	4	1
otu2376	0	0	0	2	0	0	1	0	7	1
otu2402	9	1	0	0	0	0	1	0	0	0
otu2541	1	1	1	0	2	3	0	0	1	2
otu2835	0	2	0	0	4	3	1	1	0	0
otu2867	0	0	0	0	4	2	1	0	4	0
otu3017	0	3	0	1	1	3	2	1	0	0
otu32	0	2	0	0	0	3	1	2	3	0
otu3759	0	0	0	0	4	1	4	2	0	0
otu4231	0	2	0	0	5	0	1	1	2	0
otu4579	4	0	0	0	1	1	1	0	1	3
otu4661	2	0	3	1	2	0	2	0	1	0
otu5132	0	1	5	0	0	2	3	0	0	0
otu5179	2	1	3	0	3	0	0	1	1	0
otu52	0	0	0	1	2	2	0	2	0	4
otu552	0	0	0	0	3	3	0	1	4	0
otu5615	0	1	2	1	0	2	1	3	1	0
otu5648	1	2	0	0	0	1	0	5	2	0
otu5653	0	3	1	0	2	2	0	2	1	0
otu5739	0	2	1	5	2	0	0	0	1	0
otu6134	0	0	0	0	0	0	1	6	2	2
otu6288	0	0	0	11	0	0	0	0	0	0
otu6417	0	0	0	0	1	3	2	1	4	0
otu6452	0	1	0	0	1	3	1	0	1	4
otu6540	2	2	6	0	0	0	1	0	0	0
otu6553	1	1	3	0	1	3	0	2	0	0
otu6869	0	0	1	2	4	2	2	0	0	0
otu6901	0	5	5	0	0	0	1	0	0	0
otu6926	0	7	1	0	1	0	0	1	1	0
otu6990	2	0	2	5	0	1	0	0	1	0
otu7093	0	2	4	0	1	2	1	1	0	0
otu727	0	0	3	0	1	2	2	1	1	1
otu7592	0	2	3	1	0	0	4	0	0	1
otu8106	0	3	1	2	3	0	2	0	0	0
